name,group,desc,url,start,end,location,email,,,,,,,
Grill or Chill #Social Enterprise ,Grill Or Chill,"Grill or Chill (GoC) is a platform for startups to showcase their product and get valuable feedback from experts in the startup ecosystem. Each GoC ends with a networking session where you can mingle and connect with other entrepreneurs in a cozy environment.This months theme is Social Enterprise.By selling goods and services in the open market, social enterprises reinvest the money they make back into their business or the local community. This allows them to tackle social problems, improve people's life chances, support communities and help the environment. So when a social enterprise profits society profits.Calling startups that has Social Enterprise impact for the world to pitch, interested to pitch ?Please apply here :https://goo.gl/forms/OP3B700YLtCMxbYJ2Event Schedule:10.00am : Registration10.30am : GRILLing or CHILLing session11.30am : Sharing session by Grillers12.00pm : EndHow does it work?Each startup to be grilled are given 10 minutes:5 minutes - Startup to showcase their product5 minutes - Startup to be grilled by grillers",null,"2019 Mar 29, 10:00 AM +08:00","2019 Mar 29, 12:30 PM +08:00","WOTSO WorkSpace, Summer Suites, No 8, Jalan Cendana, Kampung Baru, 50300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",amirul.izzat@mymagic.my,,,,,,,
Grill or Chill #Fintech,Grill Or Chill,"Grill or Chill (GoC) is a platform for startups to showcase their product and get valuable feedback from experts in the startup ecosystem. Each GoC ends with a networking session where you can mingle and connect with other entrepreneurs in a cozy environment.This months theme is Fintech.Calling startups that has Fintech solution to pitch, interested to pitch ?Please apply here :https://goo.gl/forms/OP3B700YLtCMxbYJ2Event Schedule:10.00am : Registration10.30am : GRILLing or CHILLing session11.30am : Sharing session by Grillers12.00pm : EndHow does it work?Each startup to be grilled are given 10 minutes:5 minutes - Startup to showcase their product5 minutes - Startup to be grilled by grillers",null,"2019 Apr 26, 10:00 AM +08:00","2019 Apr 26, 12:00 PM +08:00","International Islamic University Malaysia (IIUM), Jalan Gombak, 53100 Kuala Lumpur, Selangor, Malaysia",amirul.izzat@mymagic.my,,,,,,,
Grill or Chill #Semicon,Grill Or Chill,"Grill or Chill (GoC) is a platform for startups to showcase their product and get valuable feedback from experts in the startup ecosystem. Each GoC ends with a networking session where you can mingle and connect with other entrepreneurs in a cozy environment.This months theme is SemiconCalling startups that has Semicon solution to pitch, interested to pitch?Please apply here :https://goo.gl/forms/OP3B700YLtCMxbYJ2Event Schedule:9.00am : Registration9.45am : GRILLing or CHILLing session 111.30am : GRILLing or CHILLing session 21.00pm : EndHow does it work?Each startup to be grilled are given 10 minutes:5 minutes - Startup to showcase their product5 minutes - Startup to be grilled by grillers",null,"2019 May 08, 09:00 AM +08:00","2019 May 08, 13:00 PM +08:00","MITEC, 8, Jalan Dutamas 2, Kompleks Kerajaan, 50480 Kuala Lumpur, Kuala Lumpur, Malaysia",amirul.izzat@mymagic.my,,,,,,,
Grill or Chill #Malaysia Tech Week 2019,Grill Or Chill,"Grill or Chill (GoC) is a platform for startups to showcase their product and get valuable feedback from experts in the startup ecosystem. Each GoC ends with a networking session where you can mingle and connect with other entrepreneurs in a cozy environment.This months theme is Smart City.Calling startups with Smart City solutions, interested to pitch ?Please apply here :https://goo.gl/forms/OP3B700YLtCMxbYJ2Event Schedule:2.00pm : Registration2.30pm : GRILLing or CHILLing session4.00pm : Sharing session by Grillers5.00pm : EndHow does it work?Each startup to be grilled are given 10 minutes:5 minutes - Startup to showcase their product5 minutes - Startup to be grilled by grillers",null,"2019 Jun 19, 14:00 PM +08:00","2019 Jun 19, 17:00 PM +08:00"," Lot A-1-1 Menara Amplewest, 6, Jalan P Ramlee, 50250 Kuala Lumpur",amirul.izzat@mymagic.my,,,,,,,
MAP ASEAN Cohort 1,MaGIC Accelerator Program ASEAN,MaGIC Accelerator Program ASEAN Cohort 1,null,"2015 Jul 27, 24:00 AM +08:00","2015 Oct 27, 24:00 AM +08:00",null,map.asean@mymagic.my,,,,,,,
MAP ASEAN Cohort 2,MaGIC Accelerator Program ASEAN,MaGIC Accelerator Program ASEAN Cohort 2 in year 2016,null,"2016 May 02, 24:00 AM +08:00","2016 Aug 02, 24:00 AM +08:00",null,map.asean@mymagic.my,,,,,,,
MAP ASEAN Cohort 3,MaGIC Accelerator Program ASEAN,MaGIC Accelerator Program ASEAN Cohort 3 in year 2016,null,"2016 Aug 22, 24:00 AM +08:00","2016 Nov 22, 24:00 AM +08:00",null,map.asean@mymagic.my,,,,,,,
MAP SE Cohort 1,MaGIC Accelerator Program SE,MaGIC Accelerator Program SE Cohort 1,null,"2015 Jul 27, 24:00 AM +08:00","2015 Oct 27, 24:00 AM +08:00",null,map.se@mymagic.my,,,,,,,
MAP SE Cohort 2,MaGIC Accelerator Program SE,MaGIC Accelerator Program SE Cohort 2,null,"2016 Apr 25, 24:00 AM +08:00","2016 Jul 25, 24:00 AM +08:00",null,map.se@mymagic.my,,,,,,,
MAP SE Cohort 3,MaGIC Accelerator Program SE,null,null,"2016 Aug 22, 24:00 AM +08:00",-,null,map.se@mymagic.my,,,,,,,
MaGIC Co-Working space 2014-7,MaGIC Co-Working Space,null,null,"2014 Jul 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2014-8,MaGIC Co-Working Space,null,null,"2014 Aug 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2014-9,MaGIC Co-Working Space,null,null,"2014 Sep 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2014-10,MaGIC Co-Working Space,null,null,"2014 Oct 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2015-1,MaGIC Co-Working Space,null,null,"2015 Jan 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2015-2,MaGIC Co-Working Space,null,null,"2015 Feb 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2015-4,MaGIC Co-Working Space,null,null,"2015 Apr 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2015-5,MaGIC Co-Working Space,null,null,"2015 May 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2015-6,MaGIC Co-Working Space,null,null,"2015 Jun 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2015-7,MaGIC Co-Working Space,null,null,"2015 Jul 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2015-8,MaGIC Co-Working Space,null,null,"2015 Aug 03, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2015-9,MaGIC Co-Working Space,null,null,"2015 Sep 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2015-10,MaGIC Co-Working Space,null,null,"2015 Oct 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2015-11,MaGIC Co-Working Space,null,null,"2015 Nov 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2015-12,MaGIC Co-Working Space,null,null,"2015 Dec 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2016-1,MaGIC Co-Working Space,null,null,"2016 Jan 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2016-2,MaGIC Co-Working Space,null,null,"2016 Feb 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2016-3,MaGIC Co-Working Space,null,null,"2016 Mar 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2016-4,MaGIC Co-Working Space,null,null,"2016 Apr 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2016-5,MaGIC Co-Working Space,null,null,"2016 May 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2016-6,MaGIC Co-Working Space,null,null,"2016 Jun 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2016-7,MaGIC Co-Working Space,null,null,"2016 Jul 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2016-8,MaGIC Co-Working Space,null,null,"2016 Aug 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2016-9,MaGIC Co-Working Space,null,null,"2016 Sep 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2016-10,MaGIC Co-Working Space,null,null,"2016 Oct 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2016-11,MaGIC Co-Working Space,null,null,"2016 Nov 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2016-12,MaGIC Co-Working Space,null,null,"2016 Dec 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2017-1,MaGIC Co-Working Space,null,null,"2017 Jan 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2017-2,MaGIC Co-Working Space,null,null,"2017 Feb 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2017-3,MaGIC Co-Working Space,null,null,"2017 Mar 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2017-4,MaGIC Co-Working Space,null,null,"2017 Apr 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2017-5,MaGIC Co-Working Space,null,null,"2017 May 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2017-6,MaGIC Co-Working Space,null,null,"2017 Jun 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2017-7,MaGIC Co-Working Space,null,null,"2017 Jul 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2017-8,MaGIC Co-Working Space,null,null,"2017 Aug 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2017-9,MaGIC Co-Working Space,null,null,"2017 Sep 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2017-10,MaGIC Co-Working Space,null,null,"2017 Oct 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2017-11,MaGIC Co-Working Space,null,null,"2017 Nov 01, 08:00 AM +08:00",-,null,null,,,,,,,
MaGIC Co-Working space 2018-1,MaGIC Co-Working Space,null,null,"2018 Jan 01, 24:00 AM +08:00","2018 Jan 31, 24:00 AM +08:00",null,null,,,,,,,
MaGIC Co-Working space 2018-2,MaGIC Co-Working Space,null,null,"2018 Feb 01, 24:00 AM +08:00","2018 Feb 28, 24:00 AM +08:00",null,null,,,,,,,
MaGIC Co-Working space 2018-3,MaGIC Co-Working Space,null,null,"2018 Mar 01, 24:00 AM +08:00","2018 Mar 31, 24:00 AM +08:00",null,null,,,,,,,
MaGIC Co-Working space 2018-4,MaGIC Co-Working Space,null,null,"2018 Apr 01, 24:00 AM +08:00","2018 Apr 30, 24:00 AM +08:00",null,null,,,,,,,
MaGIC Co-Working space 2018-5,MaGIC Co-Working Space,null,null,"2018 May 01, 24:00 AM +08:00","2018 May 31, 24:00 AM +08:00",null,null,,,,,,,
MaGIC Co-Working space 2018-6,MaGIC Co-Working Space,null,null,"2018 Jun 01, 24:00 AM +08:00","2018 Jun 30, 24:00 AM +08:00",null,null,,,,,,,
MaGIC Co-Working space 2018-7,MaGIC Co-Working Space,null,null,"2018 Jul 01, 24:00 AM +08:00","2018 Jul 31, 24:00 AM +08:00",null,null,,,,,,,
MaGIC Co-Working space 2018-8,MaGIC Co-Working Space,null,null,"2018 Aug 01, 24:00 AM +08:00","2018 Aug 31, 24:00 AM +08:00",null,null,,,,,,,
MaGIC Co-Working space 2018-9,MaGIC Co-Working Space,null,null,"2018 Sep 01, 24:00 AM +08:00","2018 Sep 30, 24:00 AM +08:00",null,null,,,,,,,
MaGIC Co-Working space 2018-10,MaGIC Co-Working Space,null,null,"2018 Oct 01, 24:00 AM +08:00","2019 Oct 31, 24:00 AM +08:00",null,null,,,,,,,
MaGIC Co-Working space 2018-11,MaGIC Co-Working Space,null,null,"2018 Nov 01, 24:00 AM +08:00","2018 Nov 30, 24:00 AM +08:00",null,null,,,,,,,
MaGIC Co-Working space 2018-12,MaGIC Co-Working Space,null,null,"2018 Dec 01, 24:00 AM +08:00","2018 Dec 31, 24:00 AM +08:00",null,null,,,,,,,
MaGIC Co-Working space 2019-1,MaGIC Co-Working Space,null,null,"2019 Jan 01, 24:00 AM +08:00","2019 Jan 31, 24:00 AM +08:00",null,null,,,,,,,
MaGIC Co-Working space 2019-2,MaGIC Co-Working Space,null,null,"2019 Feb 01, 24:00 AM +08:00","2019 Feb 28, 24:00 AM +08:00",null,null,,,,,,,
MaGIC Co-Working space 2019-3,MaGIC Co-Working Space,null,null,"2019 Mar 01, 24:00 AM +08:00","2019 Mar 31, 24:00 AM +08:00",null,null,,,,,,,
MaGIC Co-Working space 2019-4,MaGIC Co-Working Space,null,null,"2019 Apr 01, 24:00 AM +08:00","2019 Apr 30, 24:00 AM +08:00",null,null,,,,,,,
MEBP : Startup Essentials (Design Thinking & Business Model Canvas) Batch 1,MaGIC Ecosystem Builder,null,null,"2019 Jun 17, 24:00 AM +08:00","2019 Jun 19, 24:00 AM +08:00","Malaysian Global Innovation & Creativity Centre (MaGIC) 3730, Persiaran Apec Cyberjaya 63000 Cyberjaya Selangor, Malaysia",null,,,,,,,
MEBP : Startup Essential (Design Thinking & Business Model Canvas) Batch 2,MaGIC Ecosystem Builder,null,null,"2019 Aug 19, 24:00 AM +08:00","2019 Aug 21, 24:00 AM +08:00",null,null,,,,,,,
MEBP : Startup Essentials (Design Thinking & Business Model Canvas) Batch 3,MaGIC Ecosystem Builder,null,null,"2019 Sep 03, 24:00 AM +08:00","2019 Sep 05, 24:00 AM +08:00",null,null,,,,,,,
IDEA Accelerator Program - Cohort 1,MaGIC IDEA Accelerator (MIA),null,null,"2018 Mar 12, 24:00 AM +08:00",-,null,idea@mymagic.my,,,,,,,
Ideation Lab Batch 1,MaGIC Pre Accelerator Program,null,null,"2016 Nov 21, 08:00 AM +08:00",-,null,null,,,,,,,
TEGAS Pre Accelerator,MaGIC Pre Accelerator Program,null,null,"2018 Mar 25, 24:00 AM +08:00","2018 Apr 07, 24:00 AM +08:00",null,null,,,,,,,
Climate Launchpad Accelerator,MaGIC Pre Accelerator Program,null,null,"2018 Jul 01, 24:00 AM +08:00","2019 Jan 09, 24:00 AM +08:00",null,null,,,,,,,
MaGIC Pre-Accelerator Bootcamp Female Founders Edition,MaGIC Pre Accelerator Program,The MaGIC Pre-Accelerator Bootcamp Female Founders Edition is a two-week pre-accelerator designed to kickstart businesses of aspiring entrepreneurs in creating their Minimum Viable Product (MVP) from validated ideas.,null,"2018 Jul 08, 24:00 AM +08:00","2018 Jul 20, 24:00 AM +08:00",Block 3730 Persiaran APEC 63000 Cyberjaya Malaysia,musa@mymagic.my,,,,,,,
PUSH 2018,PUSH,null,null,"2018 Jan 01, 24:00 AM +08:00","2019 Jan 09, 24:00 AM +08:00",null,null,,,,,,,
PUSH 2019,PUSH,null,null,"2019 Oct 01, 24:00 AM +08:00","2019 Oct 01, 24:00 AM +08:00",null,null,,,,,,,
Regional Conferences TIA Singapore,Regional Conferences,null,null,"2015 May 06, 08:00 AM +08:00",-,null,null,,,,,,,
Regional Conferences ECH 2015 Singapore,Regional Conferences,null,null,"2015 Jun 23, 08:00 AM +08:00",-,null,null,,,,,,,
Regional Conferences TIA 2015 Jakarta,Regional Conferences,null,null,"2015 Nov 11, 08:00 AM +08:00",-,null,null,,,,,,,
Regional Conferences Echelon 2015 Thailand,Regional Conferences,null,null,"2015 Nov 26, 08:00 AM +08:00",-,null,null,,,,,,,
Regional Conferences TIA 2016 SG,Regional Conferences,null,null,"2016 Apr 12, 08:00 AM +08:00",-,null,null,,,,,,,
Regional Conferences TIA 2016 Jakarta,Regional Conferences,null,null,"2016 Nov 16, 08:00 AM +08:00",-,null,null,,,,,,,
SE Fellowship Batch 1,SE Fellowship,null,null,"2016 Sep 07, 08:00 AM +08:00",-,null,null,,,,,,,
Stanford Go2Market Batch 1,Stanford Go2Market,null,null,"2015 Mar 15, 08:00 AM +08:00","2015 Mar 22, 08:00 AM +08:00",null,null,,,,,,,
Stanford Go2Market Batch 2,Stanford Go2Market,null,null,"2016 Mar 13, 08:00 AM +08:00","2016 Mar 20, 08:00 AM +08:00",null,null,,,,,,,
Stanford Go2Market Batch 3,Stanford Go2Market,null,null,"2017 Mar 12, 08:00 AM +08:00","2017 Mar 19, 08:00 AM +08:00",null,null,,,,,,,
Startup Exchange Batch 1,Startup Exchange,null,null,"2016 Aug 02, 08:00 AM +08:00","2016 Sep 07, 08:00 AM +08:00",null,null,,,,,,,
SIHUB Startup Exchange,Startup Exchange,null,null,"2018 Mar 01, 24:00 AM +08:00","2019 Jan 09, 24:00 AM +08:00",null,null,,,,,,,
